date,category,issue,opinion,group,issue_description,opinion_description,num_comments,num_reactions,reactions_like,reactions_love,reactions_haha,reactions_wow,reactions_sad,reactions_angry
2026-07-28,Environmental,Construction Noise,,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",,1,0,0,0,0,0,0,0
2026-07-28,Environmental,Construction Noise,Construction noise source identification,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Comments that identify or confirm the specific source of construction or industrial noise being discussed,1,1,1,0,0,0,0,0
2026-07-28,Environmental,Construction Noise,Development destroying town character,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Criticism that construction projects are ruining the aesthetic or cultural identity of the area,1,7,7,0,0,0,0,0
2026-07-28,Environmental,Construction Noise,Humorous dismissal of noise complaints,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Comments that use humor or jokes to minimize or mock concerns about loud noises,2,6,1,0,5,0,0,0
2026-07-28,Environmental,Construction Noise,Political blame for development decisions,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Attribution of construction problems to specific political parties or officials,1,2,2,0,0,0,0,0
2026-07-28,Environmental,Construction Noise,Relief at shared noise experience,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Expressions of comfort or validation that others are experiencing the same noise,2,1,1,0,0,0,0,0
2026-07-28,Environmental,Construction Noise,Sleep disruption from construction,Mossley GB,"Reports of loud sounds, machinery noise, or disruptive audio from building work, development projects, or industrial activities affecting residential areas",Complaints about construction noise specifically interfering with sleep or rest,1,3,1,0,0,0,0,0
2026-07-29,Businesses,Business Closures Safety,Antisocial behavior condemnation,"Beechdale, Birchills, Leamore and Reedswood.","Commercial establishments shutting down due to safety concerns, staff wellbeing, or security threats rather than financial reasons",Expressing disapproval or contempt for those responsible for creating the unsafe conditions that led to closure,1,2,2,0,0,0,0,0
2026-07-29,Businesses,Business Closures Safety,Personal loss and sadness,"Beechdale, Birchills, Leamore and Reedswood.","Commercial establishments shutting down due to safety concerns, staff wellbeing, or security threats rather than financial reasons","Expressing personal disappointment, sadness, or sense of loss about the closure from a customer perspective",2,4,2,2,0,0,0,0
2026-07-29,Businesses,Business Closures Safety,Practical service concerns,"Beechdale, Birchills, Leamore and Reedswood.","Commercial establishments shutting down due to safety concerns, staff wellbeing, or security threats rather than financial reasons","Asking questions about ongoing services, operations, or practical implications of the immediate closure",2,2,1,1,0,0,0,0
2026-07-29,Businesses,Business Closures Safety,Staff safety priority validation,"Beechdale, Birchills, Leamore and Reedswood.","Commercial establishments shutting down due to safety concerns, staff wellbeing, or security threats rather than financial reasons",Affirming that worker safety should take precedence over business operations and that no one should work in fear,1,2,1,1,0,0,0,0
2026-07-29,Businesses,Business Closures Safety,Support for closure decision,"Beechdale, Birchills, Leamore and Reedswood.","Commercial establishments shutting down due to safety concerns, staff wellbeing, or security threats rather than financial reasons","Expressing understanding, sympathy, or agreement with the establishment's decision to close for safety reasons",1,2,2,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.",,3,3,1,0,0,2,0,0
2026-07-29,Crime,Business Closure Safety,Area deterioration and decline,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.",Comments on broader neighborhood decline or worsening conditions beyond the specific incident,1,6,6,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,Closure was inevitable outcome,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.",Views the closure as predictable or unavoidable given ongoing problems in the area,1,1,1,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,Practical concerns about service disruption,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.","Focuses on logistical problems caused by sudden closure, such as uncollected parcels or service access",2,2,2,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,Staff safety priority validates closure,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.","Expresses that prioritizing staff safety justifies the closure decision, even if regrettable",1,2,2,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,Sympathy for affected staff,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.","Expresses concern, well-wishes, or appreciation specifically for the employees impacted by closure",2,4,4,0,0,0,0,0
2026-07-29,Crime,Business Closure Safety,Youth antisocial behavior blamed,Beechdale Community Partnership,"Commercial establishments closing operations due to safety concerns for staff or customers, typically citing threats, harassment, or dangerous conditions that make continued operation untenable.",Attributes the closure specifically to problematic behavior by young people or 'kids',1,5,5,0,0,0,0,0
